river;agency;station_code;station_name;date;discharge;flag
Mackenzie;NA;NA;NA;1972-07-21 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-22 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-23 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-24 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-25 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-26 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-27 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-28 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-29 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-30 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-31 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-08-01 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-08-02 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-08-03 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-08-04 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-08-05 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-08-06 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-08-07 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-08-08 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-08-09 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-08-10 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-08-11 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-08-12 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-08-13 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-08-14 00:00:00;NA;NA
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-15 00:00:00;15700;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-16 00:00:00;15500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-17 00:00:00;15200;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-18 00:00:00;14900;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-19 00:00:00;14500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-20 00:00:00;14300;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-21 00:00:00;14300;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-22 00:00:00;14200;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-23 00:00:00;14100;A
