river;agency;station_code;station_name;date;discharge;flag;Datetime;Datetime Kusur;Time to add for correction;Datetime Samoylov
Lena;Roshydromet;3821;Kyusyur;23.02.2000;3530;A;12:00:00 PM;23.02.2000 12:00;60:00:00;2000-02-26 00:00:00
Lena;Roshydromet;3821;Kyusyur;24.02.2000;3510;A;12:00:00 PM;24.02.2000 12:00;60:00:00;2000-02-27 00:00:00
Lena;Roshydromet;3821;Kyusyur;25.02.2000;3480;A;12:00:00 PM;25.02.2000 12:00;60:00:00;2000-02-28 00:00:00
Lena;Roshydromet;3821;Kyusyur;26.02.2000;3460;A;12:00:00 PM;26.02.2000 12:00;60:00:00;2000-02-29 00:00:00
Lena;Roshydromet;3821;Kyusyur;27.02.2000;3450;A;12:00:00 PM;27.02.2000 12:00;60:00:00;2000-03-01 00:00:00
Lena;Roshydromet;3821;Kyusyur;28.02.2000;3440;A;12:00:00 PM;28.02.2000 12:00;60:00:00;2000-03-02 00:00:00
Lena;Roshydromet;3821;Kyusyur;29.02.2000;3430;A;12:00:00 PM;29.02.2000 12:00;60:00:00;2000-03-03 00:00:00
Lena;Roshydromet;3821;Kyusyur;01.03.2000;3420;A;12:00:00 PM;01.03.2000 12:00;60:00:00;2000-03-04 00:00:00
Lena;Roshydromet;3821;Kyusyur;02.03.2000;3410;A;12:00:00 PM;02.03.2000 12:00;60:00:00;2000-03-05 00:00:00
Lena;Roshydromet;3821;Kyusyur;03.03.2000;3390;A;12:00:00 PM;03.03.2000 12:00;60:00:00;2000-03-06 00:00:00
Lena;Roshydromet;3821;Kyusyur;04.03.2000;3380;A;12:00:00 PM;04.03.2000 12:00;60:00:00;2000-03-07 00:00:00
Lena;Roshydromet;3821;Kyusyur;05.03.2000;3370;A;12:00:00 PM;05.03.2000 12:00;60:00:00;2000-03-08 00:00:00
Lena;Roshydromet;3821;Kyusyur;06.03.2000;3360;A;12:00:00 PM;06.03.2000 12:00;60:00:00;2000-03-09 00:00:00
Lena;Roshydromet;3821;Kyusyur;07.03.2000;3350;A;12:00:00 PM;07.03.2000 12:00;60:00:00;2000-03-10 00:00:00
Lena;Roshydromet;3821;Kyusyur;08.03.2000;3340;A;12:00:00 PM;08.03.2000 12:00;60:00:00;2000-03-11 00:00:00
Lena;Roshydromet;3821;Kyusyur;09.03.2000;3330;A;12:00:00 PM;09.03.2000 12:00;60:00:00;2000-03-12 00:00:00
Lena;Roshydromet;3821;Kyusyur;10.03.2000;3320;A;12:00:00 PM;10.03.2000 12:00;60:00:00;2000-03-13 00:00:00
Lena;Roshydromet;3821;Kyusyur;11.03.2000;3310;A;12:00:00 PM;11.03.2000 12:00;60:00:00;2000-03-14 00:00:00
Lena;Roshydromet;3821;Kyusyur;12.03.2000;3300;A;12:00:00 PM;12.03.2000 12:00;60:00:00;2000-03-15 00:00:00
Lena;Roshydromet;3821;Kyusyur;13.03.2000;3280;A;12:00:00 PM;13.03.2000 12:00;60:00:00;2000-03-16 00:00:00
Lena;Roshydromet;3821;Kyusyur;14.03.2000;3270;A;12:00:00 PM;14.03.2000 12:00;60:00:00;2000-03-17 00:00:00
Lena;Roshydromet;3821;Kyusyur;15.03.2000;3260;A;12:00:00 PM;15.03.2000 12:00;60:00:00;2000-03-18 00:00:00
Lena;Roshydromet;3821;Kyusyur;16.03.2000;3250;A;12:00:00 PM;16.03.2000 12:00;60:00:00;2000-03-19 00:00:00
Lena;Roshydromet;3821;Kyusyur;17.03.2000;3240;A;12:00:00 PM;17.03.2000 12:00;60:00:00;2000-03-20 00:00:00
Lena;Roshydromet;3821;Kyusyur;18.03.2000;3230;A;12:00:00 PM;18.03.2000 12:00;60:00:00;2000-03-21 00:00:00
Lena;Roshydromet;3821;Kyusyur;19.03.2000;3220;A;12:00:00 PM;19.03.2000 12:00;60:00:00;2000-03-22 00:00:00
Lena;Roshydromet;3821;Kyusyur;20.03.2000;3210;A;12:00:00 PM;20.03.2000 12:00;60:00:00;2000-03-23 00:00:00
Lena;Roshydromet;3821;Kyusyur;21.03.2000;3200;A;12:00:00 PM;21.03.2000 12:00;60:00:00;2000-03-24 00:00:00
Lena;Roshydromet;3821;Kyusyur;22.03.2000;3190;A;12:00:00 PM;22.03.2000 12:00;60:00:00;2000-03-25 00:00:00
Lena;Roshydromet;3821;Kyusyur;23.03.2000;3170;A;12:00:00 PM;23.03.2000 12:00;60:00:00;2000-03-26 00:00:00
Lena;Roshydromet;3821;Kyusyur;24.03.2000;3160;A;12:00:00 PM;24.03.2000 12:00;60:00:00;2000-03-27 00:00:00
Lena;Roshydromet;3821;Kyusyur;25.03.2000;3150;A;12:00:00 PM;25.03.2000 12:00;60:00:00;2000-03-28 00:00:00
Lena;Roshydromet;3821;Kyusyur;26.03.2000;3140;A;12:00:00 PM;26.03.2000 12:00;60:00:00;2000-03-29 00:00:00
Lena;Roshydromet;3821;Kyusyur;27.03.2000;3130;A;12:00:00 PM;27.03.2000 12:00;60:00:00;2000-03-30 00:00:00
Lena;Roshydromet;3821;Kyusyur;28.03.2000;3120;A;12:00:00 PM;28.03.2000 12:00;60:00:00;2000-03-31 00:00:00
Lena;Roshydromet;3821;Kyusyur;29.03.2000;3100;A;12:00:00 PM;29.03.2000 12:00;60:00:00;2000-04-01 00:00:00
Lena;Roshydromet;3821;Kyusyur;30.03.2000;3070;A;12:00:00 PM;30.03.2000 12:00;60:00:00;2000-04-02 00:00:00
Lena;Roshydromet;3821;Kyusyur;31.03.2000;3050;A;12:00:00 PM;31.03.2000 12:00;60:00:00;2000-04-03 00:00:00
Lena;Roshydromet;3821;Kyusyur;01.04.2000;3030;A;12:00:00 PM;01.04.2000 12:00;60:00:00;2000-04-04 00:00:00
Lena;Roshydromet;3821;Kyusyur;02.04.2000;3000;A;12:00:00 PM;02.04.2000 12:00;60:00:00;2000-04-05 00:00:00
Lena;Roshydromet;3821;Kyusyur;03.04.2000;2980;A;12:00:00 PM;03.04.2000 12:00;60:00:00;2000-04-06 00:00:00
Lena;Roshydromet;3821;Kyusyur;04.04.2000;2950;A;12:00:00 PM;04.04.2000 12:00;60:00:00;2000-04-07 00:00:00
Lena;Roshydromet;3821;Kyusyur;05.04.2000;2930;A;12:00:00 PM;05.04.2000 12:00;60:00:00;2000-04-08 00:00:00
Lena;Roshydromet;3821;Kyusyur;06.04.2000;2910;A;12:00:00 PM;06.04.2000 12:00;60:00:00;2000-04-09 00:00:00
Lena;Roshydromet;3821;Kyusyur;07.04.2000;2880;A;12:00:00 PM;07.04.2000 12:00;60:00:00;2000-04-10 00:00:00
Lena;Roshydromet;3821;Kyusyur;08.04.2000;2860;A;12:00:00 PM;08.04.2000 12:00;60:00:00;2000-04-11 00:00:00
Lena;Roshydromet;3821;Kyusyur;09.04.2000;2840;A;12:00:00 PM;09.04.2000 12:00;60:00:00;2000-04-12 00:00:00
Lena;Roshydromet;3821;Kyusyur;10.04.2000;2810;A;12:00:00 PM;10.04.2000 12:00;60:00:00;2000-04-13 00:00:00
Lena;Roshydromet;3821;Kyusyur;11.04.2000;2790;A;12:00:00 PM;11.04.2000 12:00;60:00:00;2000-04-14 00:00:00
Lena;Roshydromet;3821;Kyusyur;12.04.2000;2760;A;12:00:00 PM;12.04.2000 12:00;60:00:00;2000-04-15 00:00:00
Lena;Roshydromet;3821;Kyusyur;13.04.2000;2740;A;12:00:00 PM;13.04.2000 12:00;60:00:00;2000-04-16 00:00:00
Lena;Roshydromet;3821;Kyusyur;14.04.2000;2740;A;12:00:00 PM;14.04.2000 12:00;60:00:00;2000-04-17 00:00:00
Lena;Roshydromet;3821;Kyusyur;15.04.2000;2730;A;12:00:00 PM;15.04.2000 12:00;60:00:00;2000-04-18 00:00:00
Lena;Roshydromet;3821;Kyusyur;16.04.2000;2730;A;12:00:00 PM;16.04.2000 12:00;60:00:00;2000-04-19 00:00:00
Lena;Roshydromet;3821;Kyusyur;17.04.2000;2730;A;12:00:00 PM;17.04.2000 12:00;60:00:00;2000-04-20 00:00:00
Lena;Roshydromet;3821;Kyusyur;18.04.2000;2720;A;12:00:00 PM;18.04.2000 12:00;60:00:00;2000-04-21 00:00:00
Lena;Roshydromet;3821;Kyusyur;19.04.2000;2720;A;12:00:00 PM;19.04.2000 12:00;60:00:00;2000-04-22 00:00:00
Lena;Roshydromet;3821;Kyusyur;20.04.2000;2720;A;12:00:00 PM;20.04.2000 12:00;60:00:00;2000-04-23 00:00:00
Lena;Roshydromet;3821;Kyusyur;21.04.2000;2720;A;12:00:00 PM;21.04.2000 12:00;60:00:00;2000-04-24 00:00:00
Lena;Roshydromet;3821;Kyusyur;22.04.2000;2710;A;12:00:00 PM;22.04.2000 12:00;60:00:00;2000-04-25 00:00:00
Lena;Roshydromet;3821;Kyusyur;23.04.2000;2710;A;12:00:00 PM;23.04.2000 12:00;60:00:00;2000-04-26 00:00:00
