river,agency,station_code,station_name,date,discharge,flag,Datetime,Datetime Kusur,Time to add for correction,Datetime Samoylov
Lena,Roshydromet,3821,Kyusyur,1936-03-12,1560,A,12:00:00 nachm.,1936-03-12 12:00:00,60:00:00,1936-03-15 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-13,1540,A,12:00:00 nachm.,1936-03-13 12:00:00,60:00:00,1936-03-16 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-14,1520,A,12:00:00 nachm.,1936-03-14 12:00:00,60:00:00,1936-03-17 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-15,1500,A,12:00:00 nachm.,1936-03-15 12:00:00,60:00:00,1936-03-18 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-16,1480,A,12:00:00 nachm.,1936-03-16 12:00:00,60:00:00,1936-03-19 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-17,1450,A,12:00:00 nachm.,1936-03-17 12:00:00,60:00:00,1936-03-20 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-18,1430,A,12:00:00 nachm.,1936-03-18 12:00:00,60:00:00,1936-03-21 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-19,1420,A,12:00:00 nachm.,1936-03-19 12:00:00,60:00:00,1936-03-22 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-20,1420,A,12:00:00 nachm.,1936-03-20 12:00:00,60:00:00,1936-03-23 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-21,1410,A,12:00:00 nachm.,1936-03-21 12:00:00,60:00:00,1936-03-24 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-22,1400,A,12:00:00 nachm.,1936-03-22 12:00:00,60:00:00,1936-03-25 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-23,1390,A,12:00:00 nachm.,1936-03-23 12:00:00,60:00:00,1936-03-26 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-24,1390,A,12:00:00 nachm.,1936-03-24 12:00:00,60:00:00,1936-03-27 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-25,1380,A,12:00:00 nachm.,1936-03-25 12:00:00,60:00:00,1936-03-28 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-26,1370,A,12:00:00 nachm.,1936-03-26 12:00:00,60:00:00,1936-03-29 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-27,1360,A,12:00:00 nachm.,1936-03-27 12:00:00,60:00:00,1936-03-30 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-28,1360,A,12:00:00 nachm.,1936-03-28 12:00:00,60:00:00,1936-03-31 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-29,1350,A,12:00:00 nachm.,1936-03-29 12:00:00,60:00:00,1936-04-01 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-30,1340,A,12:00:00 nachm.,1936-03-30 12:00:00,60:00:00,1936-04-02 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-31,1330,A,12:00:00 nachm.,1936-03-31 12:00:00,60:00:00,1936-04-03 00:00:00
